review_id,split,label,label_name
0,train,1,pos
1,train,1,pos
2,train,1,pos
3,train,1,pos
4,train,1,pos
5,train,1,pos
6,train,1,pos
7,train,1,pos
8,train,1,pos
9,train,1,pos
10,train,1,pos
11,train,1,pos
12,train,1,pos
13,train,1,pos
14,train,1,pos
15,train,1,pos
16,train,1,pos
17,train,1,pos
18,train,1,pos
19,train,1,pos
20,train,1,pos
21,train,1,pos
22,train,1,pos
23,train,1,pos
24,train,1,pos
25,train,1,pos
26,train,1,pos
27,train,1,pos
28,train,1,pos
29,train,1,pos
30,train,1,pos
31,train,1,pos
32,train,1,pos
33,train,1,pos
34,train,1,pos
35,train,1,pos
36,train,1,pos
37,train,1,pos
38,train,1,pos
39,train,1,pos
40,train,1,pos
41,train,1,pos
42,train,1,pos
43,train,1,pos
44,train,1,pos
45,train,1,pos
46,train,1,pos
47,train,1,pos
48,train,1,pos
49,train,1,pos
50,train,1,pos
51,train,1,pos
52,train,1,pos
53,train,1,pos
54,train,1,pos
55,train,1,pos
56,train,1,pos
57,train,1,pos
58,train,1,pos
59,train,1,pos
60,train,1,pos
61,train,1,pos
62,train,1,pos
63,train,1,pos
64,train,1,pos
65,train,1,pos
66,train,1,pos
67,train,1,pos
68,train,1,pos
69,train,1,pos
70,train,1,pos
71,train,1,pos
72,train,1,pos
73,train,1,pos
74,train,1,pos
75,train,1,pos
76,train,1,pos
77,train,1,pos
78,train,1,pos
79,train,1,pos
80,train,1,pos
81,train,1,pos
82,train,1,pos
83,train,1,pos
84,train,1,pos
85,train,1,pos
86,train,1,pos
87,train,1,pos
88,train,1,pos
89,train,1,pos
90,train,1,pos
91,train,1,pos
92,train,1,pos
93,train,1,pos
94,train,1,pos
95,train,1,pos
96,train,1,pos
97,train,1,pos
98,train,1,pos
99,train,1,pos
100,train,1,pos
101,train,1,pos
102,train,1,pos
103,train,1,pos
104,train,1,pos
105,train,1,pos
106,train,1,pos
107,train,1,pos
108,train,1,pos
109,train,1,pos
110,train,1,pos
111,train,1,pos
112,train,1,pos
113,train,1,pos
114,train,1,pos
115,train,1,pos
116,train,1,pos
117,train,1,pos
118,train,1,pos
119,train,1,pos
120,train,1,pos
121,train,1,pos
122,train,1,pos
123,train,1,pos
124,train,1,pos
125,train,1,pos
126,train,1,pos
127,train,1,pos
128,train,1,pos
129,train,1,pos
130,train,1,pos
131,train,1,pos
132,train,1,pos
133,train,1,pos
134,train,1,pos
135,train,1,pos
136,train,1,pos
137,train,1,pos
138,train,1,pos
139,train,1,pos
140,train,1,pos
141,train,1,pos
142,train,1,pos
143,train,1,pos
144,train,1,pos
145,train,1,pos
146,train,1,pos
147,train,1,pos
148,train,1,pos
149,train,1,pos
150,train,1,pos
151,train,1,pos
152,train,1,pos
153,train,1,pos
154,train,1,pos
155,train,1,pos
156,train,1,pos
157,train,1,pos
158,train,1,pos
159,train,1,pos
160,train,1,pos
161,train,1,pos
162,train,1,pos
163,train,1,pos
164,train,1,pos
165,train,1,pos
166,train,1,pos
167,train,1,pos
168,train,1,pos
169,train,1,pos
170,train,1,pos
171,train,1,pos
172,train,1,pos
173,train,1,pos
174,train,1,pos
175,train,1,pos
176,train,1,pos
177,train,1,pos
178,train,1,pos
179,train,1,pos
180,train,1,pos
181,train,1,pos
182,train,1,pos
183,train,1,pos
184,train,1,pos
185,train,1,pos
186,train,1,pos
187,train,1,pos
188,train,1,pos
189,train,1,pos
190,train,1,pos
191,train,1,pos
192,train,1,pos
193,train,1,pos
194,train,1,pos
195,train,1,pos
196,train,1,pos
198,train,1,pos
199,train,1,pos
200,train,1,pos
201,train,1,pos
202,train,1,pos
203,train,1,pos
204,train,1,pos
205,train,1,pos
206,train,1,pos
207,train,1,pos
208,train,1,pos
209,train,1,pos
210,train,1,pos
211,train,1,pos
212,train,1,pos
213,train,1,pos
214,train,1,pos
215,train,1,pos
216,train,1,pos
217,train,1,pos
